train_name,experiment,test_set,best_model,n_train,n_test,n_features,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,ece,brier_score
leave_out_ghostbuster,transition_all,ghostbuster_test,random_forest,16204,670,348,0.9202344755800257,0.9437872473305016,0.8443935926773455,0.4702842377260982,0.7235142118863049,0.13059203980099499,0.14108276948590384
leave_out_ghostbuster,transition_all,hc3_plus_test,random_forest,16204,266,348,0.9438923395445135,0.9656182890655232,0.803030303030303,0.6211180124223602,0.7142857142857143,0.2068922305764411,0.17366499582289058
leave_out_ghostbuster,transition_all,all_samples,random_forest,16204,300,348,0.5943777777777778,0.5780111881772794,0.6714975845410628,0.03333333333333333,0.08666666666666667,0.1516777777777778,0.2691623333333334
leave_out_ghostbuster,transition_top20,m4_test,random_forest,16204,1965,20,0.9089617195132783,0.9822523842185993,0.9336027713625866,0.46642685851318944,0.6690647482014388,0.012405428329092333,0.08117935538592026
leave_out_ghostbuster,transition_top20,ghostbuster_test,random_forest,16204,670,20,0.9015348654595923,0.931087476142878,0.8127053669222344,0.35400516795865633,0.661498708010336,0.1422089552238806,0.15811555555555554
leave_out_ghostbuster,transition_top20,hc3_plus_test,random_forest,16204,266,20,0.9022774327122154,0.9399397407467623,0.8091603053435115,0.6521739130434783,0.7204968944099379,0.18849624060150377,0.1771827067669173
leave_out_ghostbuster,transition_top20,all_samples,random_forest,16204,300,20,0.4988888888888889,0.5218818491523074,0.616580310880829,0.02666666666666667,0.07333333333333333,0.19418888888888888,0.29714685185185186
leave_out_ghostbuster,transition_top50,m4_test,random_forest,16204,1965,50,0.938809558413875,0.9885932466595613,0.9439767779390421,0.6540767386091128,0.7553956834532374,0.023056827820186598,0.06955439072660445
leave_out_ghostbuster,transition_top50,ghostbuster_test,random_forest,16204,670,50,0.9000967850914438,0.9311691368914088,0.8304093567251462,0.3049095607235142,0.7054263565891473,0.10650248756218898,0.14336127694859038
leave_out_ghostbuster,transition_top50,hc3_plus_test,random_forest,16204,266,50,0.9475303164744158,0.9678158831497804,0.8268733850129198,0.6583850931677019,0.7515527950310559,0.18903508771929822,0.1558312865497076
leave_out_ghostbuster,transition_top50,all_samples,random_forest,16204,300,50,0.5609999999999999,0.5696394510781839,0.6053412462908012,0.05333333333333334,0.1,0.15475555555555556,0.2785548148148148
leave_out_ghostbuster,transition_top100,m4_test,random_forest,16204,1965,100,0.938495668111975,0.9882967508082992,0.9434731934731935,0.6193045563549161,0.7643884892086331,0.021314673452078086,0.06884288945433982
leave_out_ghostbuster,transition_top100,ghostbuster_test,random_forest,16204,670,100,0.913053204408287,0.936351051492404,0.8387850467289719,0.3850129198966408,0.6770025839793282,0.11435820895522389,0.13870908789386402
leave_out_ghostbuster,transition_top100,hc3_plus_test,random_forest,16204,266,100,0.94924578527063,0.9685547413553217,0.8165374677002584,0.6459627329192547,0.7204968944099379,0.1876817042606516,0.15456879699248124
leave_out_ghostbuster,transition_top100,all_samples,random_forest,16204,300,100,0.6034444444444444,0.581058118094138,0.630057803468208,0.0,0.11333333333333333,0.10907777777777772,0.2578613703703704
leave_out_ghostbuster,transition_summary_only,m4_test,random_forest,16204,1965,99,0.9315598026629202,0.9868861199830868,0.938479396401625,0.6127098321342925,0.7218225419664268,0.02688040712468198,0.07285348035057959
leave_out_ghostbuster,transition_summary_only,ghostbuster_test,random_forest,16204,670,99,0.9121903561873979,0.9335094320270901,0.8333333333333334,0.4392764857881137,0.7260981912144703,0.11959701492537313,0.1422173631840796
