train_source,test_set,feature_set,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,fpr_at_tpr_95pct
leave_out_ghostbuster,m4_test,transition_plus_strict_koopman,0.7688657155084012,0.9494201572379357,0.9182493806771264,0.2793764988009592,0.3830935251798561,0.7272727272727273
leave_out_ghostbuster,ghostbuster_test,transition_plus_strict_koopman,0.6822846759982104,0.7116209928654186,0.7322611163670766,0.002583979328165375,0.09560723514211886,0.8445229681978799
leave_out_ghostbuster,hc3_plus_test,transition_plus_strict_koopman,0.6271221532091098,0.7495685367030143,0.7540983606557377,0.09937888198757763,0.14906832298136646,0.9714285714285714
leave_out_ghostbuster,all_samples,full_plus_transition_plus_strict_koopman,0.6632000000000001,0.6497641142618736,0.6696629213483146,0.013333333333333334,0.14666666666666667,0.8866666666666667
leave_out_ghostbuster,m4_test,full_plus_transition_plus_strict_koopman,0.9933376531098355,0.9987929587756651,0.9839476813317479,0.8615107913669064,0.9760191846522782,0.037037037037037035
leave_out_ghostbuster,ghostbuster_test,full_plus_transition_plus_strict_koopman,0.8678290008308909,0.9123095386633965,0.7932960893854749,0.45478036175710596,0.5788113695090439,0.6501766784452296
leave_out_ghostbuster,hc3_plus_test,full_plus_transition_plus_strict_koopman,0.9609287193138125,0.9768844614190502,0.7853658536585366,0.7515527950310559,0.8571428571428571,0.20952380952380953
leave_out_ghostbuster,all_samples,strict_koopman_spectral_only,0.5274444444444444,0.548138238184715,0.6498855835240275,0.006666666666666667,0.1,0.9666666666666667
leave_out_ghostbuster,m4_test,strict_koopman_spectral_only,0.9169765197942656,0.9835046668308995,0.9414118319519863,0.44544364508393286,0.6414868105515588,0.39730639730639733
leave_out_ghostbuster,ghostbuster_test,strict_koopman_spectral_only,0.8607025136731768,0.8968979170566413,0.7463556851311953,0.34108527131782945,0.4883720930232558,0.5795053003533569
leave_out_ghostbuster,hc3_plus_test,strict_koopman_spectral_only,0.9171546879621414,0.9425046237696914,0.7853658536585366,0.4409937888198758,0.577639751552795,0.37142857142857144
leave_out_ghostbuster,all_samples,full_plus_strict_koopman,0.6161555555555555,0.6086427162742961,0.6476683937823834,0.02,0.06,0.9066666666666666
leave_out_ghostbuster,m4_test,full_plus_strict_koopman,0.995398630590477,0.9991729716235465,0.986904761904762,0.8962829736211031,0.9808153477218226,0.02356902356902357
leave_out_ghostbuster,ghostbuster_test,full_plus_strict_koopman,0.8788451529843591,0.9166680094607698,0.8071625344352618,0.46770025839793283,0.5968992248062015,0.6183745583038869
leave_out_ghostbuster,hc3_plus_test,full_plus_strict_koopman,0.962407571724342,0.9794675985767227,0.8346456692913385,0.8260869565217391,0.9006211180124224,0.21904761904761905
leave_out_ghostbuster,all_samples,transition_plus_strict_koopman,0.5368888888888889,0.5232402065685149,0.6636771300448431,0.006666666666666667,0.04,0.9066666666666666
leave_out_ghostbuster,m4_test,transition_plus_strict_koopman,0.7802485284499674,0.954636650417445,0.9194260485651214,0.3303357314148681,0.43285371702637887,0.7575757575757576
leave_out_ghostbuster,ghostbuster_test,transition_plus_strict_koopman,0.3655463335798614,0.49089507224265183,0.7288296860133207,0.0103359173126615,0.023255813953488372,0.9717314487632509
leave_out_ghostbuster,hc3_plus_test,transition_plus_strict_koopman,0.3666370896184561,0.5238145773600561,0.7482352941176471,0.006211180124223602,0.018633540372670808,0.9714285714285714
leave_out_ghostbuster,all_samples,full_plus_transition_plus_strict_koopman,0.6437555555555556,0.6333083918531374,0.6636363636363637,0.013333333333333334,0.08,0.94
leave_out_ghostbuster,m4_test,full_plus_transition_plus_strict_koopman,0.9929066847532075,0.9987016027114651,0.985731272294887,0.8591127098321343,0.9760191846522782,0.037037037037037035
leave_out_ghostbuster,ghostbuster_test,full_plus_transition_plus_strict_koopman,0.873960245067156,0.9166777959305538,0.7949790794979079,0.4883720930232558,0.5917312661498708,0.6113074204946997
leave_out_ghostbuster,hc3_plus_test,full_plus_transition_plus_strict_koopman,0.9644779650990831,0.9784768109757651,0.7862407862407862,0.7453416149068323,0.8509316770186336,0.13333333333333333
